Number,LCG,MRG,CLCG
0,10050,9892,10133
1,10017,9957,10102
2,10146,9902,10064
3,10070,10033,10049
4,9840,10049,9853
5,10148,9892,10093
6,10104,10003,10059
7,9995,9894,9945
8,10010,10009,9906
9,9933,10039,9817
10,9935,10024,9908
11,9968,10107,9991
12,10218,10025,9957
13,10001,9969,9897
14,9929,10009,10087
15,9900,10030,10150
16,9907,10126,9797
17,9917,9816,9941
18,9903,9987,9965
19,9971,9954,9964
20,9963,9981,9918
21,9754,10136,10040
22,9965,10020,9955
23,9943,10027,9767
24,9987,10009,9810
25,9957,10100,10196
26,10216,9995,9896
27,10070,9957,10059
28,9938,9890,9976
29,10065,9943,9942
30,10095,9973,10063
31,9962,10062,9909
32,9949,9956,9962
33,10005,9910,10022
34,9989,9883,9943
35,10048,10082,10080
36,10020,9995,10067
37,9921,10012,9980
38,10030,9890,10210
39,9981,10088,10152
40,9970,9904,10260
41,9886,9989,10070
42,10098,10085,10055
43,10088,9909,10059
44,9992,10052,10011
45,9930,10034,9998
46,9921,9916,10105
47,9980,9929,9947
48,10018,10178,9951
49,10000,9910,9876
50,9896,10123,9878
51,9988,10039,10078
52,10168,10098,9905
53,10168,9960,9815
54,10052,10051,10165
55,10195,9964,10055
56,10067,9993,10117
57,9954,10084,10118
58,9943,9931,9872
59,9985,9999,9825
60,9956,10063,9936
61,10139,9908,10076
62,9884,10114,10010
63,9907,10223,10005
64,10011,9875,10156
65,10060,10013,10109
66,10041,9990,10133
67,9975,10101,10169
68,9972,9953,9951
69,9980,9945,9909
70,9972,10046,10005
71,10041,10159,10049
72,9942,10039,9947
73,10068,9919,9766
74,10048,10003,10200
75,10001,10312,10216
76,9981,9988,10093
77,9959,10110,9977
78,9891,9821,9822
79,10136,10150,10005
80,9845,10018,9923
81,9974,9964,9977
82,9872,9838,10129
83,9937,9986,9980
84,10077,10041,9904
85,10064,9911,9975
86,10008,10091,9894
87,10054,9912,9910
88,10084,10004,10010
89,10012,9968,9998
90,10115,9967,10055
91,9957,9868,9895
92,10073,10072,10055
93,10128,9826,10001
94,9867,9904,10028
95,9886,9905,9991
96,9962,9954,9955
97,9960,10144,9878
98,10080,10151,10003
99,9962,9970,10120
